Doctor Name,Specialization,Hospital,Experience (years),Contact,General Specialization
Dr. Sarah Miller,COVID-19,Harmony Health Hospital,12,+91-8881445377,General Practitioner
Dr. Robert Johnson,Dengue,City General Hospital,21,+91-6275502453,General Practitioner
Dr. Emily Johnson,Asthma,City General Hospital,25,+91-7991797830,Pulmonologist
Dr. Emma Jones,Migraine,City General Hospital,29,+91-8473134880,Neurologist
Dr. James Jones,Hypertension,Harmony Health Hospital,12,+91-8208751832,Cardiologist
Dr. Robert Johnson,COVID-19,City General Hospital,28,+91-8639645644,General Practitioner
Dr. Michael Smith,Typhoid,Harmony Health Hospital,30,+91-8471746556,General Practitioner
Dr. Olivia Jones,Typhoid,Sunrise Medical Center,23,+91-6464190134,General Practitioner
Dr. Emily Martinez,Diabetes,City General Hospital,6,+91-9975693566,Endocrinologist
Dr. Olivia Brown,Food Poisoning,Green Valley Clinic,22,+91-8331313218,General Practitioner
Dr. Emma Smith,Flu,Sunrise Medical Center,24,+91-9927746874,General Practitioner
Dr. Olivia Jones,COVID-19,City General Hospital,12,+91-7569835905,General Practitioner
Dr. Sophia Brown,Pneumonia,Green Valley Clinic,10,+91-9168410685,General Practitioner
Dr. Olivia Martinez,Common Cold,City General Hospital,8,+91-7082225663,General Practitioner
Dr. James Jones,Migraine,Harmony Health Hospital,23,+91-6285329095,Neurologist
Dr. David Jones,Pneumonia,Green Valley Clinic,28,+91-8233921773,General Practitioner
Dr. James Jones,Diabetes,Green Valley Clinic,23,+91-8888721106,Endocrinologist
Dr. John Hernandez,Tuberculosis,City General Hospital,19,+91-7530934602,Pulmonologist
Dr. Olivia Williams,Pneumonia,Sunrise Medical Center,5,+91-6486173718,General Practitioner
Dr. Robert Martinez,Heart Disease,Sunrise Medical Center,24,+91-7022225547,Cardiologist
Dr. David Smith,Diabetes,Green Valley Clinic,26,+91-9964814946,Endocrinologist
Dr. Emily Martinez,Food Poisoning,Sunrise Medical Center,12,+91-6389811368,General Practitioner
Dr. Sophia Martinez,Migraine,Sunrise Medical Center,29,+91-6586128570,Neurologist
Dr. Olivia Smith,Heart Disease,Green Valley Clinic,24,+91-7123202782,Cardiologist
Dr. Michael Brown,Tuberculosis,Sunrise Medical Center,25,+91-6695743080,Pulmonologist
Dr. David Williams,Food Poisoning,Harmony Health Hospital,14,+91-9108208271,General Practitioner
Dr. Sophia Davis,Tuberculosis,Sunrise Medical Center,16,+91-8310673508,Pulmonologist
Dr. Sophia Smith,Common Cold,Sunrise Medical Center,23,+91-9988145223,General Practitioner
Dr. Michael Johnson,Migraine,Green Valley Clinic,25,+91-6797637451,Neurologist
Dr. David Hernandez,Bronchitis,Sunrise Medical Center,21,+91-6842399961,General Practitioner
Dr. Sophia Miller,Bronchitis,City General Hospital,13,+91-7082338802,General Practitioner
Dr. Sophia Hernandez,Typhoid,Sunrise Medical Center,27,+91-8181679918,General Practitioner
Dr. Olivia Johnson,Tuberculosis,Sunrise Medical Center,14,+91-8309634805,Pulmonologist
Dr. James Johnson,Dengue,Harmony Health Hospital,20,+91-9129647209,General Practitioner
Dr. James Johnson,Heart Disease,City General Hospital,22,+91-6831414456,Cardiologist
Dr. Sophia Johnson,Malaria,Harmony Health Hospital,10,+91-9132101714,Infectious Disease Specialist
Dr. Emily Martinez,Tuberculosis,Sunrise Medical Center,12,+91-8706262889,Pulmonologist
Dr. Robert Davis,Heart Disease,Harmony Health Hospital,30,+91-6478371565,Cardiologist
Dr. Sarah Smith,Malaria,Sunrise Medical Center,24,+91-6338972285,Infectious Disease Specialist
Dr. Michael Jones,Diabetes,Harmony Health Hospital,9,+91-7788730142,Endocrinologist
Dr. Sophia Garcia,Tuberculosis,Harmony Health Hospital,20,+91-6319446145,Pulmonologist
Dr. Sophia Williams,Hypertension,Harmony Health Hospital,13,+91-9672225206,Cardiologist
Dr. John Jones,Hypertension,City General Hospital,24,+91-7135911512,Cardiologist
Dr. Sarah Miller,Flu,City General Hospital,9,+91-6852131498,General Practitioner
Dr. James Smith,Malaria,Sunrise Medical Center,27,+91-8031278450,Infectious Disease Specialist
Dr. Robert Smith,Pneumonia,Harmony Health Hospital,9,+91-9290494662,General Practitioner
Dr. Robert Williams,Hypertension,City General Hospital,21,+91-9642603196,Cardiologist
Dr. Olivia Davis,Asthma,City General Hospital,5,+91-6712024779,Pulmonologist
Dr. Olivia Brown,Heart Disease,Sunrise Medical Center,5,+91-9712756198,Cardiologist
Dr. Michael Garcia,Hypertension,Sunrise Medical Center,14,+91-7837759106,Cardiologist
Dr. Emily Davis,Pneumonia,City General Hospital,23,+91-6780385328,General Practitioner
Dr. Sarah Brown,Flu,Green Valley Clinic,28,+91-7911986874,General Practitioner
Dr. John Martinez,COVID-19,Green Valley Clinic,14,+91-6018348918,General Practitioner
Dr. James Williams,Hypertension,Harmony Health Hospital,13,+91-7734414646,Cardiologist
Dr. Michael Garcia,Hypertension,Sunrise Medical Center,7,+91-9813637672,Cardiologist
Dr. Michael Smith,Food Poisoning,Sunrise Medical Center,15,+91-9113409265,General Practitioner
Dr. James Garcia,Tuberculosis,Green Valley Clinic,17,+91-6317210235,Pulmonologist
Dr. Robert Jones,Diabetes,City General Hospital,22,+91-9421300724,Endocrinologist
Dr. James Hernandez,Tuberculosis,City General Hospital,22,+91-8196452795,Pulmonologist
Dr. John Garcia,Common Cold,Harmony Health Hospital,19,+91-9006867740,General Practitioner
Dr. Sarah Brown,Malaria,Harmony Health Hospital,7,+91-7620182457,Infectious Disease Specialist
Dr. Olivia Jones,Pneumonia,Harmony Health Hospital,17,+91-8129592365,General Practitioner
Dr. Olivia Garcia,Heart Disease,Sunrise Medical Center,23,+91-7212976225,Cardiologist
Dr. John Williams,Diabetes,Green Valley Clinic,16,+91-8212678604,Endocrinologist
Dr. James Miller,Pneumonia,City General Hospital,15,+91-8617506907,General Practitioner
Dr. Michael Brown,Common Cold,Green Valley Clinic,14,+91-6522228578,General Practitioner
Dr. James Martinez,Tuberculosis,Sunrise Medical Center,12,+91-6847038590,Pulmonologist
Dr. Sophia Martinez,Tuberculosis,Sunrise Medical Center,27,+91-8650203349,Pulmonologist
Dr. Olivia Brown,Common Cold,Sunrise Medical Center,22,+91-8494838357,General Practitioner
Dr. Robert Smith,Food Poisoning,City General Hospital,17,+91-9878327264,General Practitioner
Dr. James Smith,Common Cold,Green Valley Clinic,6,+91-9950851602,General Practitioner
Dr. James Hernandez,Pneumonia,Harmony Health Hospital,7,+91-9156408145,General Practitioner
Dr. Emily Martinez,Flu,Harmony Health Hospital,27,+91-8816279036,General Practitioner
Dr. Robert Martinez,Typhoid,Sunrise Medical Center,21,+91-8680601486,General Practitioner
Dr. John Jones,Bronchitis,Green Valley Clinic,21,+91-8614569563,General Practitioner
Dr. Robert Brown,Bronchitis,Green Valley Clinic,25,+91-7434392492,General Practitioner
Dr. Emily Smith,Food Poisoning,Sunrise Medical Center,22,+91-7504908908,General Practitioner
Dr. Robert Garcia,Diabetes,City General Hospital,5,+91-7069193263,Endocrinologist
Dr. Michael Jones,Malaria,Sunrise Medical Center,8,+91-7007559862,Infectious Disease Specialist
Dr. James Johnson,Malaria,City General Hospital,11,+91-8595893402,Infectious Disease Specialist
Dr. David Hernandez,Bronchitis,Green Valley Clinic,19,+91-6591276686,General Practitioner
Dr. Emily Williams,Dengue,Harmony Health Hospital,8,+91-7815247866,General Practitioner
Dr. David Miller,Malaria,Sunrise Medical Center,18,+91-6502088574,Infectious Disease Specialist
Dr. Robert Hernandez,Bronchitis,Sunrise Medical Center,8,+91-6398330345,General Practitioner
Dr. James Johnson,Typhoid,Green Valley Clinic,20,+91-6301334745,General Practitioner
Dr. Emily Brown,Migraine,Harmony Health Hospital,23,+91-7568792556,Neurologist
Dr. Emma Jones,Dengue,City General Hospital,25,+91-7389975795,General Practitioner
Dr. Michael Brown,Diabetes,City General Hospital,15,+91-7792734821,Endocrinologist
